|dir_project          |first                  |last                   |
|b-g9frost-raw        |2010-03-14 15:05:35.000|2010-09-27 18:36:17.000|
|b-hps-physrun2019-raw|2019-06-14 15:48:42.000|2019-12-02 10:56:35.000|
|b-hps-raw            |2012-04-29 20:35:45.000|2019-04-29 13:13:41.000|
|b-e1211106-raw           |2016-05-24 13:26:35.000|2016-06-23 02:27:18.000|
|b-primex             |2002-07-11 09:07:44.000|2009-06-07 19:11:26.000|
|b-primex2-raw        |2010-10-02 23:45:45.000|2010-11-11 12:03:44.000|
|b-primexraw          |1999-11-07 00:00:00.000|2004-11-24 09:32:51.000|
|b-rd                 |2017-02-07 15:19:50.000|2017-02-08 12:14:36.000|
|b-tpe-raw            |2010-12-04 04:03:24.000|2011-03-25 18:04:53.000|
|b-e8-raw            |2005-06-20 10:16:10.000|2006-01-09 12:29:12.000|
|c-alphaE-raw         |2019-07-20 09:27:04.000|2019-10-10 10:59:37.000|
|c-e1216004           |2022-09-10 11:02:44.000|2022-09-29 09:59:12.000|
|c-e1210003           |2018-04-20 09:06:16.000|2023-03-21 10:56:27.000|
|c-e89009             |2000-02-27 00:00:00.000|2000-10-10 00:00:00.000|
|c-e91016             |1996-08-25 00:00:00.000|2001-12-16 15:25:15.000|
|c-e93026             |1998-06-21 00:00:00.000|2004-04-07 18:33:32.000|
|c-e93038             |2000-09-11 00:00:00.000|2004-04-07 16:37:03.000|
|c-e99118             |2000-07-12 00:00:00.000|2007-08-27 17:51:57.000|
|c-e04108             |2007-10-26 17:30:34.000|2008-06-20 18:21:25.000|
|c-e04019             |2007-11-26 17:30:34.000|2008-01-20 18:21:25.000|
|c-gzero-raw          |2002-10-29 15:16:40.000|2005-01-25 11:38:57.000|
|c-e01011             |2005-06-02 09:53:00.000|2005-10-12 00:40:37.000|
|c-e05115             |2009-09-17 11:53:58.000|2009-10-03 13:48:10.000|
|c-e1216007           |2019-02-06 17:24:32.000|2019-03-05 09:17:14.000|
|c-e1211107           |2024-12-17 12:34:52.000|2025-06-11 09:05:39.000|
|c-nps                |2023-02-15 12:59:22.000|2024-10-07 00:11:50.000|
|c-e1219006           |2021-08-21 00:17:13.000|2022-09-09 08:20:13.000|
|c-polhe3             |2019-10-11 14:38:42.000|2021-08-20 23:16:05.000|
|c-e1206110             |2019-12-03 14:38:42.000|2020-05-20 23:16:05.000|
|c-e1206121             |2019-12-03 14:38:42.000|2020-05-20 23:16:05.000|
|c-qweak-polarimetry  |2010-10-28 13:16:25.000|2012-07-30 11:18:24.000|
|c-qweak-raw          |2010-06-27 12:17:35.000|2012-07-31 02:17:39.000|
|c-e07003-raw         |2008-10-21 12:10:47.000|2009-03-17 12:07:54.000|
|c-spring17-raw       |2017-03-10 22:46:24.000|2019-07-20 10:42:23.000|
|clas12-er-a-raw      |2017-12-14 17:27:26.000|2018-02-16 12:00:20.000|
|clas12-kpp-raw       |2017-02-06 11:55:36.000|2017-04-03 04:59:02.000|
|clas12-prod          |2024-11-15 16:30:37.000|2025-06-11 09:12:18.000|
|clas12-rg-a-raw      |2018-02-06 22:45:23.000|2019-04-15 07:01:52.000|
|clas12-rg-b-raw      |2019-02-08 10:29:46.000|2020-01-30 14:04:39.000|
|clas12-rg-k-raw      |2018-11-28 17:57:41.000|2024-03-11 08:25:07.000|
|d-pxi                |2016-03-11 00:39:56.000|2025-06-11 11:41:09.000|
|dvcs-raw             |2003-12-05 15:52:17.000|2005-06-11 06:25:35.000|
|e03104-raw           |2006-10-02 19:31:04.000|2007-02-26 12:31:41.000|
|e04018-raw           |2006-11-13 19:21:03.000|2009-02-23 10:05:36.000|
|b-e1-6a-raw            |2001-10-12 19:25:28.000|2002-01-31 15:59:02.000|
|b-e1a                  |1997-12-09 00:00:00.000|1998-01-06 00:00:00.000|
|b-e1e-raw              |2002-11-16 11:32:17.000|2003-03-31 12:31:26.000|
|b-e1f-raw              |2003-04-08 18:55:41.000|2003-07-06 12:40:12.000|
|b-e1g-raw              |2003-07-10 22:24:26.000|2003-07-30 09:54:55.000|
|b-e2b-raw              |2002-05-09 03:35:31.000|2002-08-28 15:04:16.000|
|b-e6-raw              |2002-01-31 15:23:57.000|2002-04-25 09:49:29.000|
|b-eg2-raw             |2003-08-01 09:06:24.000|2004-03-10 20:29:54.000|
|b-eg3-raw             |2004-12-01 11:17:10.000|2005-03-07 12:19:31.000|
|b-eg4-raw             |2006-02-02 12:40:24.000|2006-05-12 12:56:47.000|
|b-eg5-raw             |2006-10-03 12:40:24.000|2006-10-11 12:56:47.000|
|b-g10-raw             |2004-03-16 20:51:23.000|2004-05-17 13:02:55.000|
|b-g11-raw              |2004-05-25 23:47:26.000|2004-07-28 12:10:51.000|
|b-g12             |2008-04-06 20:51:23.000|2008-06-07 13:02:55.000|
|b-g13-raw              |2006-10-28 10:56:45.000|2007-07-17 05:27:31.000|
|b-g1a                  |1998-03-30 00:00:00.000|1998-06-07 00:00:00.000|
|b-g2b-raw              |2003-05-02 06:30:15.000|2003-05-07 13:43:24.000|
|b-g5                  |1998-04-14 00:00:00.000|1998-04-22 00:00:00.000|
|b-g6c-raw              |2001-08-20 07:51:47.000|2001-10-03 18:51:20.000|
|b-g7-raw              |2002-09-19 02:21:03.000|2002-11-13 16:32:21.000|
|b-g8-raw              |2001-05-23 14:15:02.000|2001-08-15 18:39:59.000|
|b-g8b-raw              |2005-06-23 11:48:48.000|2005-10-28 14:23:46.000|
|b-g9-raw              |2007-11-03 18:47:19.000|2008-03-28 11:09:50.000|
|a-e1209016           |2022-10-04 16:29:18.000|2024-04-11 07:42:26.000|
|a-e1217004           |2024-04-11 15:22:35.000|2025-01-14 07:04:46.000|
|a-GEp                  |2025-01-14 09:37:00.000|2025-06-11 12:44:22.000|
|gzero-back-raw       |2006-01-18 23:21:03.000|2007-05-02 10:40:05.000|
|halla-raw            |1996-10-15 00:00:00.000|2005-05-09 18:42:02.000|
|hallc-raw            |1996-03-05 00:00:00.000|2005-11-28 20:34:00.000|
|halld-dryrun         |2025-03-10 05:53:51.000|2025-03-10 06:27:33.000|
|happexsp             |2004-06-06 22:31:32.000|2020-11-05 16:27:02.000|
|a-e05004-raw         |2006-08-30 19:31:12.000|2011-08-05 11:21:21.000|
